site,date,treatment,plant,leaf,variable,value
hawley,1999-06-15,1,1,1,Fletcherimyia,0
hawley,1999-06-15,1,1,1,Habrotrocha,1
hawley,1999-06-15,1,1,1,headcap,0
hawley,1999-06-15,1,1,1,Metriocnemus,0
hawley,1999-06-15,1,1,1,rotvol ml,0.5
hawley,1999-06-15,1,1,1,Sarraceniopus,0
hawley,1999-06-15,1,1,1,volume ml,1
hawley,1999-06-15,1,1,1,Wyeomyia,0
hawley,1999-06-15,4,4,1,Fletcherimyia,1
hawley,1999-06-15,4,4,1,Habrotrocha,0
hawley,1999-06-15,4,4,1,headcap,0
hawley,1999-06-15,4,4,1,Metriocnemus,1
hawley,1999-06-15,4,4,1,other,0
hawley,1999-06-15,4,4,1,rotvol ml,0.5
hawley,1999-06-15,4,4,1,Sarraceniopus,1
hawley,1999-06-15,4,4,1,volume ml,3
hawley,1999-06-15,4,4,1,Wyeomyia,0
hawley,1999-06-15,1,5,1,Fletcherimyia,0
hawley,1999-06-15,1,5,1,Habrotrocha,0
hawley,1999-06-15,1,5,1,headcap,1
hawley,1999-06-15,1,5,1,Metriocnemus,0
hawley,1999-06-15,1,5,1,other,0
hawley,1999-06-15,1,5,1,rotvol ml,0.5
hawley,1999-06-15,1,5,1,Sarraceniopus,1
hawley,1999-06-15,1,5,1,volume ml,3
hawley,1999-06-15,1,5,1,Wyeomyia,0
hawley,1999-06-15,4,8,1,Fletcherimyia,0
hawley,1999-06-15,4,8,1,Habrotrocha,0
hawley,1999-06-15,4,8,1,headcap,0
hawley,1999-06-15,4,8,1,Metriocnemus,0
hawley,1999-06-15,4,8,1,other,0
hawley,1999-06-15,4,8,1,rotvol ml,0.5
hawley,1999-06-15,4,8,1,Sarraceniopus,0
hawley,1999-06-15,4,8,1,volume ml,1.4
hawley,1999-06-15,4,8,1,Wyeomyia,0
hawley,1999-06-15,1,9,1,Fletcherimyia,1
hawley,1999-06-15,1,9,1,Habrotrocha,0
hawley,1999-06-15,1,9,1,headcap,0
hawley,1999-06-15,1,9,1,Metriocnemus,0
hawley,1999-06-15,1,9,1,other,0
hawley,1999-06-15,1,9,1,rotvol ml,0.5
hawley,1999-06-15,1,9,1,Sarraceniopus,0
hawley,1999-06-15,1,9,1,volume ml,0.5
hawley,1999-06-15,1,9,1,Wyeomyia,0
hawley,1999-06-15,4,12,1,Fletcherimyia,0
hawley,1999-06-15,4,12,1,Habrotrocha,0
hawley,1999-06-15,4,12,1,headcap,0
hawley,1999-06-15,4,12,1,Metriocnemus,0
hawley,1999-06-15,4,12,1,other,0
hawley,1999-06-15,4,12,1,rotvol ml,0.5
hawley,1999-06-15,4,12,1,Sarraceniopus,0
hawley,1999-06-15,4,12,1,volume ml,2
hawley,1999-06-15,4,12,1,Wyeomyia,0
hawley,1999-06-15,1,13,1,Fletcherimyia,0
hawley,1999-06-15,1,13,1,Habrotrocha,0
